#Galaxy Name,Filename,Extension,dx,dy,x0,y0,Galaxy type,Morphology,H,M,S,RA (deg),D,M,S,Dec (deg),Major (arcmin),Minor (arcmin),Major (ly),Minor (ly),Distance (Mpc),Distance (ly),Constellation,Stellar Mass (log),Other names,Notes
NGC 4536,NGC4536,.jpg,0.1,0.1,0.55,0.57,Intermediate,SABbc,12,34,26.8,188.6116666667,2,11,20,2.1888888889,7.6,3.2,1.05E+05,4.40E+04,14.5,4.73E+07,Virgo,9.49,UGC 7732,
NGC 4559,NGC4559,.jpg,0.09,0.09,0.66,0.43,Intermediate,SABcd,12,35,57.8,188.9908333333,27,57,34,27.9594444444,10.7,4.4,7.09E+04,2.91E+04,6.98,2.28E+07,Coma Berenices,8.93,Caldwell 36; UGC7766,
M90,NGC4569,.jpg,0.07,0.07,0.41,0.52,Intermediate,SABab,12,36,50,189.2083333333,13,9,46,13.1627777778,9.5,4.4,1.51E+05,7.01E+04,16.8,5.48E+07,Virgo,10.38,NGC 4569; Arp 76; UGC 7786,
M58,NGC4579,.jpg,0.08,0.09,0.5,0.37,Intermediate,SABb,12,37,43.9,189.4329166667,11,49,6,11.8183333333,5.9,4.7,9.18E+04,7.31E+04,16.4,5.35E+07,Virgo,9.96,NGC 4579; UGC 7796,
NGC 4725,NGC4725,.jpg,0.07,0.08,0.43,0.42,Intermediate,SABab,12,50,26.6,192.6108333333,25,30,2,25.5005555556,10.7,7.6,1.21E+05,8.58E+04,11.9,3.88E+07,Coma Berenices,10.58,UGC 7989,
Pinwheel Galaxy,NGC5457,.jpg,0.09,0.1,0.66,0.59,Intermediate,SABcd,14,3,12.4,210.8016666667,54,20,53,54.3480555556,28.8,26,1.83E+05,1.65E+05,6.7,2.19E+07,Ursa Major,10.03,NGC 5457; M101; Arp 26; UGC 8981,
NGC 5713,NGC5713,.jpg,0.07,0.07,0.55,0.49,Intermediate,SABbc-pec,14,40,11.4,220.0475,-0.01,17,25,-0.2902777778,2.8,2.5,5.69E+04,5.08E+04,21.4,6.98E+07,Virgo,10.07,UGC 9541,
Fireworks Galaxy,NGC6946,.jpg,0.08,0.09,0.77,0.43,Intermediate,SABcd,20,34,52.7,308.7195833333,60,9,14,60.1538888889,11.5,9.8,7.42E+04,6.32E+04,6.8,2.22E+07,Cepheus,9.96,NGC 6946; Arp 29; Caldwell 12,
DDO 53,DDO053,.jpg,0.07,0.08,0.26,0.76,Irregular,Im,8,34,7.2,128.53,66,10,55,66.1819444444,1.5,1.3,5.14E+03,4.45E+03,3.61,1.18E+07,Cancer,6.35,UGC 4459,
DDO 154,DDO154,.jpg,0.08,0.08,0.08,0.58,Irregular,IBm,12,54,5.4,193.5225,27,8,55,27.1486111111,3,2.2,1.22E+04,8.98E+03,4.3,1.40E+07,Coma Berenices,6.63,NGC 4789A; UGC 8024; Abell 1656,
DDO 165,DDO165,.jpg,0.08,0.09,0.08,0.68,Irregular,Im,13,6,24.8,196.6033333333,67,42,24,67.7066666667,3.5,1.9,1.52E+04,8.24E+03,4.57,1.49E+07,Draco,6.83,UGC 8201,
Holmberg I,HolmbergI,.jpg,0.08,0.09,0.09,0.78,Irregular,IABm,9,40,32.4,145.135,71,10,56,71.1822222222,3.6,3,1.33E+04,1.11E+04,3.9,1.27E+07,Ursa Major,6.8,UGC 5139; DDO 63,
Holmberg II,HolmbergII,.jpg,0.08,0.09,0.18,0.83,Irregular,Im,8,19,3.9,124.76625,70,43,9,70.7191666667,7.9,6.3,2.40E+04,1.91E+04,3.2,1.04E+07,Ursa Major,7.73,Arp 268; UGC 4305; DDO 50,
M81 Dwarf B,M81DwB,.jpg,0.07,0.08,0.27,0.86,Irregular,Im,10,5,30.4,151.3766666667,70,21,53,70.3647222222,0.9,0.6,3.07E+03,2.05E+03,3.6,1.17E+07,Ursa Major,6.36,UGC 5423,
NGC 2915,NGC2915,.jpg,0.08,0.08,0.16,0.58,Irregular,I0,9,26,11.6,141.5483333333,-76,37,35,-76.6263888889,1.9,1,6.81E+03,3.59E+03,3.78,1.23E+07,Chamaeleon,7.57,,
NGC 3077,NGC3077,.jpg,0.08,0.08,0.22,0.67,Irregular,I0-pec,10,3,20.1,150.83375,68,44,1,68.7336111111,5.4,4.5,1.96E+04,1.64E+04,3.83,1.25E+07,Ursa Major,9.29,UGC 5398,
NGC 4625,NGC4625,.jpg,0.07,0.07,0.39,0.88,Irregular,SABmp,12,41,52.6,190.4691666667,41,16,27,41.2741666667,2.2,1.9,1.94E+04,1.68E+04,9.3,3.03E+07,Canes Venatici,8.72,UGC 7861; IC 3675,
NGC 5408,NGC5408,.jpg,0.07,0.07,0.17,0.75,Irregular,IBm,14,3,21,210.8375,-41,22,42,-41.3783333333,1.6,0.8,7.29E+03,3.64E+03,4.8,1.57E+07,Centaurus,8.29,,
NGC 1377,NGC1377,.jpg,0.05,0.05,0.23,0.45,Lenticular,S0,3,36,39,54.1625,-20,54,5,-20.9013888889,1.8,0.9,4.20E+04,2.10E+04,24.6,8.02E+07,Eridanus,9.28,,
NGC 5866,NGC5866,.jpg,0.06,0.07,0.17,0.41,Lenticular,S0,15,6,29.5,226.6229166667,55,45,47,55.7630555556,4.7,1.9,6.82E+04,2.76E+04,15.3,4.99E+07,Draco,10.02,UGC 9723,
M74,NGC0628,.jpg,0.09,0.09,0.77,0.09,Spiral,SAc,1,36,41.8,24.1741666667,15,46,60,15.7833333333,10.5,9.5,7.17E+04,6.49E+04,7.2,2.35E+07,Pisces,9.57,NGC 628; UGC 1149,
NGC 1482,NGC1482,.jpg,0.06,0.07,0.23,0.35,Spiral,SA0,3,54,38.9,58.6620833333,-20,30,8,-20.5022222222,2.5,1.4,5.36E+04,3.00E+04,22.6,7.37E+07,Eridanus,10.85,,
NGC 2841,NGC2841,.jpg,0.07,0.08,0.5,0.13,Spiral,SAb,9,22,2,140.5083333333,50,58,40,50.9777777778,8.1,3.5,1.08E+05,4.68E+04,14.1,4.60E+07,Ursa Major,10.17,UGC 4966,
NGC 2976,NGC2976,.jpg,0.08,0.08,0.54,0.22,Spiral,SAc,9,47,15.5,146.8145833333,67,55,3,67.9175,5.9,2.7,1.99E+04,9.09E+03,3.55,1.16E+07,Ursa Major,8.97,UGC 5221,
